5	2	4	1	1	52	0	0	0	253	1	4	0	1	0	3	1	1	0	1	0	2	0	0	0	0	0	0	7	0
5	2	4	1	1	58	0	11	1	252	1	4	0	1	0	3	1	1	0	1	0	2	0	0	0	0	0	0	23	0
2	1	4	1	1	34	0	7	1	233	1	4	0	1	0	4	1	0	0	1	0	2	0	0	0	0	0	1	14	0
2	1	4	1	1	57	0	9	1	220	1	4	0	1	0	3	1	1	0	1	0	2	0	1	0	0	0	0	33	1
4	3	4	5	0	4	0	0	0	203	1	4	0	1	0	2	0	1	0	1	0	2	0	1	0	0	0	0	34	1
3	1	4	1	1	0	0	0	0	201	1	4	0	1	0	3	1	1	0	1	0	2	0	0	0	0	0	0	9	0
3	1	4	1	1	0	0	0	0	194	1	4	0	1	0	3	1	1	0	1	0	2	0	0	0	0	0	0	11	0
5	2	4	1	1	0	0	0	0	191	1	4	0	1	0	3	1	1	0	1	0	2	0	0	0	0	0	0	7	0
2	1	4	1	1	44	0	0	0	181	1	4	0	1	0	2	0	1	0	1	0	2	0	0	0	0	0	0	14	0
3	1	4	2	0	2	0	0	0	142	1	4	0	0	1	1	0	1	0	1	0	2	0	0	0	0	0	0	7	0
2	1	4	1	1	67	0	0	0	136	1	4	0	1	0	2	0	1	0	1	0	2	0	0	0	0	0	0	9	0
3	1	4	1	1	0	0	2	0	131	1	4	0	0	1	3	1	1	0	1	0	2	0	0	0	0	0	0	5	0
3	1	4	1	1	41	0	0	0	123	1	4	0	1	0	2	0	1	0	1	0	2	0	0	0	0	0	0	8	0
3	1	4	1	1	0	0	6	1	122	1	4	0	1	0	4	1	0	0	1	0	2	0	1	0	0	0	0	74	1
3	1	4	1	1	0	0	6	1	120	0	4	0	1	0	4	1	1	0	1	0	2	0	0	0	0	0	0	29	0
3	1	4	1	1	0	0	0	0	120	0	4	0	1	0	3	1	1	0	1	0	2	0	0	0	0	0	0	14	0
3	1	4	1	1	0	0	0	0	115	0	4	0	1	0	3	1	0	0	1	0	2	0	0	0	0	0	0	6	0
4	3	4	2	0	62	0	0	0	85	0	4	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	1	0
4	3	4	1	1	67	0	0	0	82	0	4	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	1	0
4	3	4	1	1	63	0	0	0	74	0	4	0	0	0	3	1	0	0	1	0	2	0	0	0	0	0	0	1	0
4	3	4	1	1	82	1	0	0	74	0	4	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0
